D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
123,CVLI,Homicídio,16/01/2012,15:30,Arapiraca,Cacimbas,Masculino,Parda,51,PAF,Estabelecimento Comercial
124,CVLI,Homicídio,16/01/2012,16:00,Arapiraca,Zélia Barbosa Rocha,Masculino,Parda,45,PAF,Terreno Baldio
125,CVLI,Homicídio,16/01/2012,16:20,Maceió,Poço,Masculino,Parda,25,PAF,Via Pública
126,CVLI,Homicídio,16/01/2012,19:40,Maceió,Cidade Universitária,Masculino,NI,25,PAF,Via Pública
127,CVLI,Homicídio,16/01/2012,21:00,São José da Laje,Centro,Masculino,Parda,30,PAF,Via Pública
52315,CVLI,Homicídio,01/03/2023,21:43,Maceió,Benedito Bentes,Masculino,Parda,27,PAF,Imediações de Casa
129,CVLI,Homicídio,17/01/2012,01:00,Maceió,Cidade Universitária,Masculino,NI,41,BRANCA,Dentro de Casa
130,CVLI,Homicídio,18/01/2012,08:40,Rio Largo,Mata do Rolo,Masculino,Parda,49,PAF,Via Pública
131,CVLI,Homicídio,18/01/2012,08:40,Rio Largo,Mata do Rolo,Masculino,Parda,27,PAF,Via Pública
132,CVLI,Homicídio,18/01/2012,14:00,Maceió,Jacintinho,Masculino,NI,22,PAF,Porta de Casa
133,CVLI,Homicídio,18/01/2012,20:00,Maceió,Levada,Masculino,Parda,16,PAF,Via Pública
134,CVLI,Homicídio,18/01/2012,22:40,Maceió,Rio Novo,Masculino,Parda,17,PAF,Via Pública
135,CVLI,Homicídio,18/01/2012,23:00,São Miguel dos Campos,Centro,Masculino,Amarela,23,PAF,Porta de Casa
136,CVLI,Homicídio,19/01/2012,06:00,Maceió,Clima Bom,Masculino,NI,24,PAF,Via Pública
138,CVLI,Homicídio,20/01/2012,06:50,Maceió,Ponta Grossa,Masculino,Branca,21,PAF,Via Pública
139,CVLI,Homicídio,20/01/2012,18:00,Maceió,Bom Parto,Masculino,Parda,30,PAF,Via Pública
140,CVLI,Homicídio,20/01/2012,20:00,Arapiraca,Bom Sucesso,Masculino,Parda,,PAF,Via Pública
141,CVLI,Homicídio,20/01/2012,20:40,Palmeira dos Índios,Vila Maria,Masculino,Parda,17,PAF,Via Pública
142,CVLI,Homicídio,20/01/2012,12:40,Piranhas,Zona Rural,Masculino,Parda,47,PAF,Próximo de Casa
143,CVLI,Homicídio,21/01/2012,08:00,Cajueiro,Centro,Masculino,NI,44,PAF,Via Pública
144,CVLI,Homicídio,21/01/2012,09:00,Feira Grande,Zona Rural,Masculino,Parda,55,PAF/B,Próximo de Casa
145,CVLI,Homicídio,05/01/2012,15:00,Satuba,Centro,Feminino,Parda,19,PAF,Próximo de Casa
146,CVLI,Homicídio,22/01/2012,00:30,Penedo,Zona Rural,Masculino,Parda,21,PAF,Via Pública
29462,CVLI,Homicídio,01/04/2019,22:00,Maceió,Benedito Bentes,Masculino,Parda,25,PAF/B,Imediações de Casa
148,CVLI,Homicídio,22/01/2012,08:00,Arapiraca,Zona Rural Leste,Masculino,Parda,34,ESPANCAMENTO,Vegetação
150,CVLI,Homicídio,22/01/2012,11:30,Maceió,Cidade Universitária,Masculino,Parda,28,BRANCA,Presídio
151,CVLI,Homicídio,22/01/2012,17:00,Penedo,Centro,Masculino,Parda,25,PAF,Via Pública
152,CVLI,Homicídio,22/01/2012,20:30,Maceió,Jatiúca,Masculino,Parda,18,PAF,Via Pública
153,CVLI,Homicídio,22/01/2012,20:55,Maceió,Jacintinho,Masculino,NI,27,PAF,Via Pública
154,CVLI,Homicídio,22/01/2012,21:30,Estrela de Alagoas,Zona Rural,Masculino,Parda,32,PAF,Bar
155,CVLI,Homicídio,22/01/2012,22:15,Boca da Mata,Centro,Masculino,Parda,18,PAF,Próximo de Casa
156,CVLI,Homicídio,22/01/2012,23:10,Maceió,Levada,Masculino,NI,22,PAF,Via Pública
157,CVLI,Homicídio,22/01/2012,08:00,Arapiraca,Senador Nilo Coelho,Feminino,Branca,15,ESPANCAMENTO,Próximo de Casa
158,CVLI,Homicídio,22/01/2012,15:00,Rio Largo,Tabuleiro do Pinto,Masculino,NI,17,PAF,Via Pública
159,CVLI,Homicídio,22/01/2012,02:30,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,29,PAF,Via Pública
160,CVLI,Lesão Corporal Seguida de Morte,21/01/2012,11:00,Maceió,Jacintinho,Masculino,Branca,29,PAF,Via Pública
161,CVLI,Homicídio,23/01/2012,02:30,Marechal Deodoro,Centro,Masculino,Parda,23,PAF,Via Pública
162,CVLI,Homicídio,23/01/2012,05:00,Palmeira dos Índios,Zona Rural,Masculino,Parda,30,PAF,Via Pública
163,CVLI,Homicídio,23/01/2012,09:05,Maceió,Clima Bom,Masculino,Preta,5,ESPANCAMENTO,Terreno Baldio
164,CVLI,Homicídio,23/01/2012,12:40,Maceió,Poço,Masculino,Parda,36,PAF,Porta de Casa
166,CVLI,Homicídio,23/01/2012,17:25,Maceió,Pescaria,Feminino,Branca,25,PAF,Via Pública
52646,CVLI,Homicídio,01/04/2023,21:36,Maceió,Benedito Bentes,Masculino,Branca,20,PAF,Via Pública
168,CVLI,Homicídio,24/01/2012,17:30,Maceió,Feitosa,Masculino,NI,17,PAF,Via Pública
169,CVLI,Homicídio,24/01/2012,20:30,Murici,Centro,Masculino,Parda,32,PAF,Dentro de Casa
170,CVLI,Homicídio,25/01/2012,05:00,Maceió,Bom Parto,Masculino,Preta,28,PAF,Dentro de Casa
171,CVLI,Homicídio,25/01/2012,10:45,Maceió,Tabuleiro do Martins,Masculino,NI,18,PAF,Próximo de Casa
172,CVLI,Homicídio,25/01/2012,12:35,Maceió,Farol,Masculino,NI,13,PAF,Via Pública
173,CVLI,Homicídio,25/01/2012,15:30,Arapiraca,Brasiliana,Masculino,Parda,38,PAF,Porta de Casa
174,CVLI,Homicídio,25/01/2012,14:30,Pilar,Chã do Pilar,Masculino,Parda,21,PAF,Próximo de Casa
175,CVLI,Homicídio,25/01/2012,20:10,Atalaia,Zona Rural,Masculino,NI,22,PAF,Via Pública
176,CVLI,Homicídio,26/01/2012,19:40,Maceió,Levada,Masculino,Parda,16,PAF,Via Pública
177,CVLI,Homicídio,26/01/2012,21:00,Maceió,Pajuçara,Masculino,NI,53,PAF,Próximo de Casa
178,CVLI,Homicídio,27/01/2012,02:40,São Miguel dos Campos,Centro,Masculino,Parda,37,PAF/B,Via Pública
179,CVLI,Homicídio,27/01/2012,04:30,Dois Riachos,Centro,Masculino,Branca,19,ESPANCAMENTO,Local Público
181,CVLI,Homicídio,27/01/2012,19:30,Maceió,Ponta Grossa,Masculino,Preta,23,PAF,Via Pública
182,CVLI,Homicídio,27/01/2012,23:30,Maceió,Bom Parto,Masculino,NI,20,PAF,Via Pública
183,CVLI,Homicídio,28/01/2012,11:00,Pilar,Chã do Pilar,Masculino,NI,32,PAF,Via Pública
184,CVLI,Homicídio,28/01/2012,12:40,Maceió,Jacintinho,Masculino,NI,24,PAF,Via Pública
185,CVLI,Homicídio,28/01/2012,13:00,Maceió,Pitanguinha,Masculino,NI,27,PAF,Estabelecimento Comercial
186,CVLI,Homicídio,28/01/2012,14:50,Maceió,Santos Dumont,Masculino,Parda,15,PAF,Via Pública
187,CVLI,Homicídio,28/01/2012,15:10,Maceió,Cruz das Almas,Masculino,NI,22,PAF,Via Pública
8986,CVLI,Homicídio,01/06/2014,03:00,Maceió,Vergel do Lago,Masculino,Parda,16,PAF,Via Pública
189,CVLI,Homicídio,28/01/2012,20:00,Maceió,Petrópolis,Masculino,NI,25,PAF,Via Pública
190,CVLI,Homicídio,28/01/2012,20:00,Maceió,Petrópolis,Masculino,NI,24,PAF,Próximo de Casa
8992,CVLI,Homicídio,01/06/2014,18:46,Maceió,Benedito Bentes,Masculino,Parda,43,PAF,Imediações de Casa
192,CVLI,Homicídio,28/01/2012,22:00,Maceió,Cidade Universitária,Masculino,NI,35,PAF,Via Pública
193,CVLI,Homicídio,28/01/2012,23:00,Maceió,Tabuleiro do Martins,Masculino,NI,20,PAF,Via Pública
194,CVLI,Homicídio,28/01/2012,21:20,Maceió,Trapiche da Barra,Masculino,Parda,19,PAF,Imediações de Casa
195,CVLI,Homicídio,28/01/2012,17:40,Coruripe,Zona Rural,Masculino,Parda,43,PAF,Via Pública
197,CVLI,Homicídio,29/01/2012,01:00,Junqueiro,Zona Rural,Masculino,Parda,19,PAF,Dentro de Casa
8993,CVLI,Homicídio,01/06/2014,19:30,Maceió,Benedito Bentes,Masculino,Parda,24,PAF,Bar
5111,CVLI,Homicídio,01/07/2013,20:11,Maceió,Vergel do Lago,Masculino,Parda,21,PAF,Próximo de Casa
200,CVLI,Homicídio,29/01/2012,06:00,Santana do Ipanema,Centro,Masculino,Parda,16,PAF,
201,CVLI,Homicídio,29/01/2012,16:00,Pilar,Chã do Pilar,Masculino,NI,58,BRANCA,Dentro de Casa
